Rk,Gm#,Date,x,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 5,boxscore,SFG,@,HOU,W,5,2,,1-0,1,Tied,Lincecum,Oswalt,Wilson,2:34,N,43836,+
2,2,Tuesday Apr 6,boxscore,SFG,@,HOU,W,3,0,,2-0,1,up 1.0,Zito,Rodriguez,Wilson,2:38,N,24237,++
3,3,Wednesday Apr 7,boxscore,SFG,@,HOU,W,10,4,,3-0,1,up 1.0,Affeldt,Gervacio,,3:01,D,21599,+++
4,4,Friday Apr 9,boxscore,SFG,,ATL,W-wo,5,4,13,4-0,1,up 1.0,Affeldt,Medlen,,4:01,D,42940,++++
5,5,Saturday Apr 10,boxscore,SFG,,ATL,L,2,7,,4-1,1,up 1.0,Lowe,Wellemeyer,,3:06,N,42985,-
6,6,Sunday Apr 11,boxscore,SFG,,ATL,W,6,3,,5-1,1,up 1.0,Lincecum,Kawakami,Affeldt,2:20,N,38062,+
7,7,Monday Apr 12,boxscore,SFG,,PIT,W,9,3,,6-1,1,up 1.5,Zito,Burres,,3:01,N,26011,++
8,8,Tuesday Apr 13,boxscore,SFG,,PIT,L,5,6,,6-2,1,up 1.5,Meek,Affeldt,Dotel,2:59,N,28030,-
9,9,Wednesday Apr 14,boxscore,SFG,,PIT,W,6,0,,7-2,1,up 1.5,Sanchez,Morton,,2:08,D,29028,+
10,10,Friday Apr 16,boxscore,SFG,@,LAD,L,8,10,,7-3,1,up 2.0,Padilla,Wellemeyer,,2:58,N,49319,-
11,11,Saturday Apr 17,boxscore,SFG,@,LAD,W,9,0,,8-3,1,up 2.0,Lincecum,Haeger,,3:05,D,44734,+
12,12,Sunday Apr 18,boxscore,SFG,@,LAD,L,1,2,,8-4,1,up 2.0,Troncoso,Romo,Broxton,2:36,D,50433,-
13,13,Monday Apr 19,boxscore,SFG,@,SDP,L-wo,2,3,10,8-5,1,up 1.0,Stauffer,Affeldt,,2:52,N,17087,--
14,14,Tuesday Apr 20,boxscore,SFG,@,SDP,L,0,1,,8-6,1,Tied,Latos,Sanchez,Bell,2:27,N,17822,---
15,15,Wednesday Apr 21,boxscore,SFG,@,SDP,L,2,5,,8-7,2,1.0,Garland,Wellemeyer,,2:42,D,14906,----
16,16,Friday Apr 23,boxscore,SFG,,STL,W,4,1,,9-7,2,1.0,Lincecum,Garcia,Wilson,2:35,N,42860,+
17,17,Saturday Apr 24,boxscore,SFG,,STL,W,2,0,,10-7,2,1.0,Zito,Wainwright,Wilson,2:26,N,41785,++
18,18,Sunday Apr 25,boxscore,SFG,,STL,L,0,2,,10-8,2,1.0,Penny,Cain,Franklin,2:48,D,40230,-
19,19,Monday Apr 26,boxscore,SFG,,PHI,W,5,1,,11-8,1,Tied,Sanchez,Halladay,,2:44,N,30035,+
20,20,Tuesday Apr 27,boxscore,SFG,,PHI,W,6,2,,12-8,1,Tied,Wellemeyer,Moyer,,2:32,N,31792,++
21,21,Wednesday Apr 28,boxscore,SFG,,PHI,L,6,7,11,12-9,2,1.0,Madson,Romo,Figueroa,3:36,D,32369,-
22,22,Friday Apr 30,boxscore,SFG,,COL,W,5,2,,13-9,2,1.5,Zito,Cook,Affeldt,2:33,N,37144,+
23,23,Saturday May 1,boxscore,SFG,,COL,W,6,1,,14-9,2,0.5,Cain,Rogers,,2:41,D,39211,++
24,24,Sunday May 2,boxscore,SFG,,COL,L,1,4,,14-10,2,1.5,Chacin,Sanchez,,3:10,D,41831,-
25,25,Tuesday May 4,boxscore,SFG,@,FLA,W,9,6,12,15-10,2,1.0,Runzler,Badenhop,Mota,3:51,N,13690,+
26,26,Wednesday May 5,boxscore,SFG,@,FLA,W,3,2,,16-10,1,Tied,Zito,Robertson,Wilson,2:42,N,11633,++
27,27,Thursday May 6,boxscore,SFG,@,FLA,W,6,3,,17-10,1,up 0.5,Cain,Nolasco,Wilson,2:54,N,12804,+++
28,28,Friday May 7,boxscore,SFG,@,NYM,L-wo,4,6,,17-11,2,0.5,Rodriguez,Romo,,2:46,N,34681,-
29,29,Saturday May 8,boxscore,SFG,@,NYM,L-wo,4,5,11,17-12,2,1.5,Takahashi,Mota,,3:32,D,36764,--
30,30,Sunday May 9,boxscore,SFG,@,NYM,W,6,5,,18-12,2,0.5,Romo,Mejia,Wilson,3:45,D,35641,+
31,31,Tuesday May 11,boxscore,SFG,,SDP,L,2,3,,18-13,2,1.5,Webb,Zito,Bell,3:25,N,33249,-
32,32,Wednesday May 12,boxscore,SFG,,SDP,L,2,5,,18-14,2,2.5,Richard,Cain,Bell,2:29,N,30924,--
33,33,Thursday May 13,boxscore,SFG,,SDP,L,0,1,,18-15,2,3.5,Latos,Sanchez,,2:06,D,32861,---
34,34,Friday May 14,boxscore,SFG,,HOU,W,8,2,,19-15,2,2.5,Wellemeyer,Paulino,,2:43,N,38650,+
35,35,Saturday May 15,boxscore,SFG,,HOU,W,2,1,,20-15,2,1.5,Lincecum,Oswalt,Wilson,2:35,D,40060,++
36,36,Sunday May 16,boxscore,SFG,,HOU,W,4,3,,21-15,2,0.5,Zito,Myers,Wilson,2:11,D,40582,+++
37,37,Monday May 17,boxscore,SFG,@,SDP,L,1,3,,21-16,2,1.5,Richard,Cain,Bell,2:57,N,20558,-
38,38,Tuesday May 18,boxscore,SFG,@,SDP,W,7,6,12,22-16,2,0.5,Runzler,Ramos,Wilson,4:07,N,19565,+
39,39,Wednesday May 19,boxscore,SFG,@,ARI,L,1,13,,22-17,2,1.5,Kennedy,Wellemeyer,,2:46,N,17073,-
40,40,Thursday May 20,boxscore,SFG,@,ARI,L,7,8,,22-18,3,1.5,Heilman,Affeldt,Qualls,3:14,N,18607,--
41,41,Friday May 21,boxscore,SFG,@,OAK,L,1,6,,22-19,3,1.5,Cahill,Zito,,2:31,N,33369,---
42,42,Saturday May 22,boxscore,SFG,@,OAK,L,0,1,,22-20,3,2.5,Gonzalez,Cain,Bailey,2:20,D,35067,----
43,43,Sunday May 23,boxscore,SFG,@,OAK,L,0,3,,22-21,3,3.5,Wuertz,Sanchez,Bailey,2:42,D,35067,-----
44,44,Tuesday May 25,boxscore,SFG,,WSN,W,4,2,,23-21,3,3.5,Wellemeyer,Hernandez,Wilson,2:28,N,27981,+
45,45,Wednesday May 26,boxscore,SFG,,WSN,L,3,7,,23-22,4,4.5,Atilano,Lincecum,,2:48,N,30230,-
46,46,Thursday May 27,boxscore,SFG,,WSN,W,5,4,,24-22,4,3.5,Casilla,Burnett,Wilson,2:44,D,28251,+
47,47,Friday May 28,boxscore,SFG,,ARI,W,5,0,,25-22,3,2.5,Cain,Jackson,,2:18,N,31495,++
48,48,Saturday May 29,boxscore,SFG,,ARI,W,12,1,,26-22,3,2.5,Sanchez,Buckner,,3:02,N,37400,+++
49,49,Sunday May 30,boxscore,SFG,,ARI,W-wo,6,5,10,27-22,3,2.5,Wilson,Rosa,,3:33,D,41394,++++
50,50,Monday May 31,boxscore,SFG,,COL,L,0,4,,27-23,3,3.5,Jimenez,Lincecum,,2:38,D,42465,-
51,51,Tuesday Jun 1,boxscore,SFG,,COL,L,1,2,11,27-24,4,3.5,Betancourt,Casilla,Corpas,3:41,N,31198,--
52,52,Wednesday Jun 2,boxscore,SFG,,COL,W,4,1,,28-24,3,3.5,Cain,Francis,Wilson,2:16,N,30697,+
53,53,Friday Jun 4,boxscore,SFG,@,PIT,W,6,4,,29-24,3,2.5,Sanchez,Duke,Wilson,2:21,N,17817,++
54,54,Saturday Jun 5,boxscore,SFG,@,PIT,L,3,6,,29-25,3,2.5,Maholm,Wellemeyer,,2:53,N,36687,-
55,55,Sunday Jun 6,boxscore,SFG,@,PIT,W,6,5,10,30-25,3,2.5,Wilson,Dotel,Casilla,3:41,D,24068,+
56,56,Monday Jun 7,boxscore,SFG,@,CIN,W,6,5,,31-25,3,2.5,Romo,Herrera,Wilson,3:00,N,18457,++
57,57,Tuesday Jun 8,boxscore,SFG,@,CIN,W,3,0,,32-25,3,2.0,Cain,LeCure,,2:50,N,13011,+++
58,58,Wednesday Jun 9,boxscore,SFG,@,CIN,L,3,6,,32-26,3,3.0,Harang,Sanchez,,2:40,N,14700,-
59,59,Thursday Jun 10,boxscore,SFG,@,CIN,L,6,7,,32-27,3,3.5,Rhodes,Mota,Cordero,3:28,D,19241,--
60,60,Friday Jun 11,boxscore,SFG,,OAK,W,6,2,,33-27,3,2.5,Lincecum,Gonzalez,Wilson,2:21,N,41817,+
61,61,Saturday Jun 12,boxscore,SFG,,OAK,W,5,4,,34-27,3,2.5,Zito,Sheets,Wilson,2:45,N,36861,++
62,62,Sunday Jun 13,boxscore,SFG,,OAK,W,6,2,,35-27,3,1.5,Cain,Mazzaro,Casilla,2:48,D,39187,+++
63,63,Monday Jun 14,boxscore,SFG,,BAL,W,10,2,,36-27,2,0.5,Sanchez,Tillman,,2:38,N,33822,++++
64,64,Tuesday Jun 15,boxscore,SFG,,BAL,L,1,4,,36-28,3,1.5,Arrieta,Martinez,Hernandez,2:41,N,35498,-
65,65,Wednesday Jun 16,boxscore,SFG,,BAL,W,6,3,,37-28,3,1.0,Lincecum,Guthrie,Wilson,3:01,D,38485,+
66,66,Friday Jun 18,boxscore,SFG,@,TOR,L,2,3,,37-29,3,1.5,Downs,Zito,Gregg,2:17,N,18667,-
67,67,Saturday Jun 19,boxscore,SFG,@,TOR,L,0,3,,37-30,3,1.5,Camp,Cain,Gregg,2:15,D,20666,--
68,68,Sunday Jun 20,boxscore,SFG,@,TOR,W,9,6,,38-30,2,1.5,Bautista,Tallet,Wilson,3:27,D,21431,+
69,69,Tuesday Jun 22,boxscore,SFG,@,HOU,W,3,1,,39-30,2,1.5,Lincecum,Oswalt,Wilson,2:33,N,29777,++
70,70,Wednesday Jun 23,boxscore,SFG,@,HOU,L,3,6,,39-31,2,2.5,Myers,Zito,Lindstrom,3:09,N,29311,-
71,71,Thursday Jun 24,boxscore,SFG,@,HOU,L,5,7,,39-32,2,2.5,Rodriguez,Cain,Lindstrom,3:16,D,26662,--
72,72,Friday Jun 25,boxscore,SFG,,BOS,W,5,4,,40-32,2,2.5,Sanchez,Wakefield,Wilson,3:15,N,41182,+
73,73,Saturday Jun 26,boxscore,SFG,,BOS,L,2,4,,40-33,2,3.5,Atchison,Bumgarner,Papelbon,2:46,D,42178,-
74,74,Sunday Jun 27,boxscore,SFG,,BOS,L,1,5,,40-34,2,4.5,Lester,Lincecum,,2:51,D,41528,--
75,75,Monday Jun 28,boxscore,SFG,,LAD,L,2,4,,40-35,3,4.5,Weaver,Casilla,Kuo,3:22,N,34626,---
76,76,Tuesday Jun 29,boxscore,SFG,,LAD,L,2,4,,40-36,4,4.5,Ely,Cain,Belisario,3:13,N,35289,----
77,77,Wednesday Jun 30,boxscore,SFG,,LAD,L,2,8,,40-37,4,5.5,Padilla,Sanchez,,2:57,D,39962,-----
78,78,Thursday Jul 1,boxscore,SFG,@,COL,L,3,7,,40-38,4,5.5,Cook,Bumgarner,,2:55,N,32134,------
79,79,Friday Jul 2,boxscore,SFG,@,COL,L,3,6,,40-39,4,6.5,Chacin,Lincecum,Street,2:34,N,48127,-------
80,80,Saturday Jul 3,boxscore,SFG,@,COL,W,11,8,,41-39,4,6.5,Bautista,Corpas,Wilson,3:15,N,49271,+
81,81,Sunday Jul 4,boxscore,SFG,@,COL,L-wo,3,4,15,41-40,4,7.5,Flores,Mota,,5:24,D,35274,-
82,82,Monday Jul 5,boxscore,SFG,@,MIL,W,6,1,,42-40,4,7.0,Sanchez,Loe,,3:18,D,36185,+
83,83,Tuesday Jul 6,boxscore,SFG,@,MIL,W,6,1,,43-40,4,6.0,Bumgarner,Wolf,,2:43,N,30896,++
84,84,Wednesday Jul 7,boxscore,SFG,@,MIL,W,15,2,,44-40,4,5.0,Lincecum,Narveson,,3:16,N,29387,+++
85,85,Thursday Jul 8,boxscore,SFG,@,MIL,W,9,3,,45-40,4,5.0,Runzler,Parra,,3:34,D,34590,++++
86,86,Friday Jul 9,boxscore,SFG,@,WSN,L,1,8,,45-41,4,5.0,Strasburg,Cain,,2:41,N,34723,-
87,87,Saturday Jul 10,boxscore,SFG,@,WSN,W,10,5,,46-41,4,4.0,Casilla,Clippard,,3:23,N,23977,+
88,88,Sunday Jul 11,boxscore,SFG,@,WSN,W,6,2,,47-41,4,4.0,Bumgarner,Hernandez,Wilson,3:04,D,22403,++
89,89,Thursday Jul 15,boxscore,SFG,,NYM,W,2,0,,48-41,4,3.5,Lincecum,Dickey,,2:11,N,38416,+++
90,90,Friday Jul 16,boxscore,SFG,,NYM,W,1,0,,49-41,3,3.5,Zito,Niese,Wilson,2:13,N,41869,++++
91,91,Saturday Jul 17,boxscore,SFG,,NYM,W,8,4,,50-41,2,3.5,Cain,Takahashi,Wilson,2:47,N,42599,+++++
92,92,Sunday Jul 18,boxscore,SFG,,NYM,L,3,4,10,50-42,3,4.5,Rodriguez,Wilson,,3:13,D,37326,-
93,93,Monday Jul 19,boxscore,SFG,@,LAD,W,5,2,,51-42,2,4.0,Bumgarner,McDonald,Wilson,3:15,N,45056,+
94,94,Tuesday Jul 20,boxscore,SFG,@,LAD,W,7,5,,52-42,2,3.0,Casilla,Broxton,Affeldt,3:16,N,53381,++
95,95,Wednesday Jul 21,boxscore,SFG,@,LAD,L,0,2,,52-43,2,4.0,Billingsley,Zito,,2:27,N,45151,-
96,96,Thursday Jul 22,boxscore,SFG,@,ARI,W,3,0,,53-43,2,3.0,Cain,Lopez,Wilson,2:27,N,17230,+
97,97,Friday Jul 23,boxscore,SFG,@,ARI,W,7,4,,54-43,2,3.0,Ray,Jackson,Wilson,3:45,N,22512,++
98,98,Saturday Jul 24,boxscore,SFG,@,ARI,W,10,4,,55-43,2,3.0,Bumgarner,Kennedy,,3:02,N,32774,+++
99,99,Sunday Jul 25,boxscore,SFG,@,ARI,W,3,2,10,56-43,2,3.0,Romo,Vasquez,Wilson,3:15,D,31278,++++
100,100,Monday Jul 26,boxscore,SFG,,FLA,L,3,4,,56-44,2,3.5,Nolasco,Zito,Oviedo,3:07,N,37677,-
101,101,Tuesday Jul 27,boxscore,SFG,,FLA,W,6,4,,57-44,2,2.5,Romo,Sanches,Wilson,2:28,N,38904,+
